Ticks,z_setpoint,z_actual,z_p,z_i,z_d,w_command,w_actual,w_i,Nabla_command,Nabla_actual,Nabla_p,Nabla_i,Nabla_d,Qv_command,sps_command,Nabla_air,Roll,Pitch,Yaw,Scale Derived Oil Volume,Depth (raw),Temperature,Battery,VOS,RangeTime,RangeDist,USBLAzimuth,USBLElevation,USBLFitError,PositionEasting,PositionNorthing,PositionDepth,AUX0,AUX1,AUX2,AUX3,AUX4,AUX5,AUX6,AUX7,AUX8,AUX9,SrcID,State,VALVE_INDEX,EN_PUMP
1715744631,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2432.0385742,2432.0385742,0.0,0.0,0.0,0.555,199800.0,0.0,0.0,0.0,0.0,993.5722656,0.0,0.0,41.1114578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744632,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2432.4746094,2432.4746094,0.0,0.0,0.0,0.555,199800.0,0.0,-6.0,-177.8000031,-1.0,993.6047363,0.0,21.6000004,41.1114578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744633,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2433.0112305,2433.0112305,0.0,0.0,0.0,0.555,199800.0,0.0,-6.0,-177.8999939,-0.9,993.7346191,0.0,21.6000004,41.1114578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744634,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2433.5646973,2433.5646973,0.0,0.0,0.0,0.555,199800.0,0.0,-5.9000001,-177.8000031,-1.0,994.0595703,0.0,21.5,41.1114578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744635,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2434.1176758,2434.1176758,0.0,0.0,0.0,0.555,199800.0,0.0,-6.0,-177.8000031,-0.9,994.1787109,0.0,21.6000004,41.1114578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744636,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2434.6708984,2434.6708984,0.0,0.0,0.0,0.555,199800.0,0.0,-6.0,-177.8000031,-0.9,994.3195801,0.0,21.6000004,41.1114578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744637,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2435.2241211,2435.2241211,0.0,0.0,0.0,0.555,199800.0,0.0,-6.0999999,-177.6999969,-0.9,994.4279785,0.0,21.6000004,41.1114578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744638,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2435.777832,2435.777832,0.0,0.0,0.0,0.555,199800.0,0.0,-5.9000001,-177.8999939,-0.8,996.2475586,0.0,21.6000004,41.1000748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744639,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2436.3310547,2436.3310547,0.0,0.0,0.0,0.555,199800.0,0.0,-6.0,-177.6999969,-0.9,996.2475586,0.0,21.6000004,41.0886917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744640,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2436.8842773,2436.8842773,0.0,0.0,0.0,0.555,199800.0,0.0,-6.0,-177.6999969,-0.9,996.2475586,0.0,21.6000004,41.0545464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744641,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2437.4379883,2437.4379883,0.0,0.0,0.0,0.555,199800.0,0.0,-6.0,-177.6999969,-0.9,996.2475586,0.0,21.6000004,41.0431633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744642,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2437.9916992,2437.9916992,0.0,0.0,0.0,0.555,199800.0,0.0,-5.9000001,-177.8000031,-0.9,996.2475586,0.0,21.6000004,41.0090179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744643,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2438.5446777,2438.5446777,0.0,0.0,0.0,0.555,199800.0,0.0,-5.9000001,-177.6999969,-1.0,996.2475586,0.0,21.6000004,41.0090179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744644,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2439.0976562,2439.0976562,0.0,0.0,0.0,0.555,199800.0,0.0,-5.9000001,-177.6999969,-0.9,996.2475586,0.0,21.6000004,41.0090179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744645,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2439.6513672,2439.6513672,0.0,0.0,0.0,0.555,199800.0,0.0,-5.5999999,-177.6000061,-0.9,995.857666,0.0,21.6000004,40.9862556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744646,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2440.2043457,2440.2043457,0.0,0.0,0.0,0.555,199800.0,0.0,-6.0,-177.8000031,-0.9,995.5761719,0.0,21.6000004,40.9862556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744647,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2440.7573242,2440.7573242,0.0,0.0,0.0,0.555,199800.0,0.0,-6.0,-177.6000061,-0.9,995.5219727,0.0,21.6000004,40.9748726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744648,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2441.3110352,2441.3110352,0.0,0.0,0.0,0.555,199800.0,0.0,-6.0999999,-177.8000031,-0.9,994.9804688,0.0,21.6000004,40.9862556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744649,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2441.8642578,2441.8642578,0.0,0.0,0.0,0.555,199800.0,0.0,-5.9000001,-177.6999969,-0.9,994.8613281,0.0,21.6000004,40.9976387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744650,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2442.4172363,2442.4172363,0.0,0.0,0.0,0.555,199800.0,0.0,-6.0,-177.6999969,-0.8,994.2653809,0.0,21.6000004,41.0090179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744651,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2442.9702148,2442.9702148,0.0,0.0,0.0,0.555,199800.0,0.0,-5.9000001,-177.8000031,-0.9,994.222168,0.0,21.6000004,40.9976387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744652,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2443.5236816,2443.5236816,0.0,0.0,0.0,0.555,199800.0,0.0,-6.0,-177.6000061,-0.8,993.723877,0.0,21.6000004,40.9748726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744653,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2444.0769043,2444.0769043,0.0,0.0,0.0,0.555,199800.0,0.0,-5.9000001,-177.8000031,-0.9,991.5249023,0.0,21.6000004,40.9748726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744654,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2444.630127,2444.630127,0.0,0.0,0.0,0.555,199800.0,0.0,-6.0,-177.6999969,-1.0,989.671875,0.0,21.6000004,40.9748726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744655,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2445.1835937,2445.1835937,0.0,0.0,0.0,0.555,199800.0,0.0,-5.8000002,-177.6999969,-0.9,989.0866699,0.0,21.6000004,40.9976387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744656,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2445.7363281,2445.7363281,0.0,0.0,0.0,0.555,199800.0,0.0,-5.8000002,-177.6000061,-0.9,988.8266602,0.0,21.5,41.0090179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744657,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2446.2841797,2446.2841797,0.0,0.0,0.0,0.555,199800.0,0.0,-5.9000001,-177.8000031,-0.8,988.6098633,0.0,21.5,40.9976387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744658,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2446.8374023,2446.8374023,0.0,0.0,0.0,0.555,199800.0,0.0,-5.8000002,-177.8000031,-0.9,987.9052734,0.0,21.5,40.9862556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744659,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2447.390625,2447.390625,0.0,0.0,0.0,0.555,199800.0,0.0,-5.8000002,-177.6999969,-0.9,987.5043945,0.0,21.5,40.9748726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744660,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2447.9438477,2447.9438477,0.0,0.0,0.0,0.555,199800.0,0.0,-5.9000001,-177.8999939,-0.9,987.298584,0.0,21.6000004,40.9748726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744661,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2448.4975586,2448.4975586,0.0,0.0,0.0,0.555,199800.0,0.0,-6.0,-177.8000031,-0.9,986.9516602,0.0,21.6000004,40.9862556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744662,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2449.0505371,2449.0505371,0.0,0.0,0.0,0.555,199800.0,0.0,-5.9000001,-177.8000031,-0.9,986.583252,0.0,21.6000004,40.9976387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
